Source,Source ID,Time,Username,Text,File Attachments,Entity URLs,Latitude,Longitude,Geo Type,Media,Positive Sentiment Confidence,Negative Sentiment Confidence,Source URL
twitter,6.73E+17,2015-12-03T21:37:31Z,sofiamartinezhe,RT @kimczwicker: #animallivesmatter #animalcruelty #AnimalRights https://t.co/DHuTydYHud,,,23.6345,-102.5528,enrichment,http://pbs.twimg.com/media/CVQq9FlWcAACUpq.jpg,,,https://twitter.com/sofiamartinezhe/status/672530126828007424
twitter,6.73E+17,2015-12-03T21:19:39Z,Kath_45,RT @kimczwicker: #animalcruelty #animallivesmatter #AnimalRights https://t.co/eJj7XUdkxe,,,46.2276,2.2137,enrichment,http://pbs.twimg.com/media/CVLc_vtUkAEsprf.jpg,,,https://twitter.com/Kath_45/status/672525630030880768
twitter,6.73E+17,2015-12-03T21:18:37Z,Kath_45,RT @kimczwicker: #quote #animalcruelty #animallivesmatter https://t.co/L3EXV8gkma,,,46.2276,2.2137,enrichment,http://pbs.twimg.com/media/CVQoItjXIAAOPXe.jpg,,,https://twitter.com/Kath_45/status/672525369543651330
twitter,6.73E+17,2015-12-03T20:59:35Z,yooneechi,RT @kimczwicker: Stop #Chick Grinding in the U.S.! https://t.co/YUGOnRzNB5  #animalcruelty #animallivesmatter #animalrights,,http://www.thepetitionsite.com/219/918/927/stop-chick-grinding-in-the-u.s./#bbtw=595949325,,,actual,,,0.82,https://twitter.com/yooneechi/status/672520577907863552
twitter,6.72E+17,2015-12-03T18:43:14Z,Angelpawskent,RT @kimczwicker: Demand an End to Dog Discrimination in #Ontario https://t.co/SREb890qvj #animalwelfare #animallivesmatter #dogs,,http://www.thepetitionsite.com/549/744/965/demand-an-end-to-dog-discrimination-in-ontario/#bbtw=595949325,,,actual,,,,https://twitter.com/Angelpawskent/status/672486264621412352
twitter,6.72E+17,2015-12-03T18:17:08Z,NatureFaery73,RT @kimczwicker: Demand an End to Dog Discrimination in #Ontario https://t.co/SREb890qvj #animalwelfare #animallivesmatter #dogs,,http://www.thepetitionsite.com/549/744/965/demand-an-end-to-dog-discrimination-in-ontario/#bbtw=595949325,,,actual,,,,https://twitter.com/NatureFaery73/status/672479696517505024
twitter,6.72E+17,2015-12-03T16:42:00Z,Universalis_Pax,RT @ValentinaP333: #animallivesmatter #Wildlifeconservation https://t.co/9Pp0Lpdjmq,,,-34.6037,-58.3816,enrichment,http://pbs.twimg.com/media/CVEeBEfVAAEn_6_.jpg,,,https://twitter.com/Universalis_Pax/status/672455756076072961
twitter,6.72E+17,2015-12-03T13:48:40Z,UiraBio,RT @SacredHeart35: VEGAN 2015 - The Film https://t.co/cZlakLAjjj via @YouTube #vegan #AnimalLivesMatter #Farm365 #AnimalAgSucks #BeTheChang…,,https://youtu.be/BYzlfPdpAeY,-25.2744,133.7751,enrichment,,0.93,,https://twitter.com/UiraBio/status/672412133825449984
twitter,6.72E+17,2015-12-03T08:20:02Z,cheezyokparanta,The Nigerian government must be reminded that #Animallivesmatter,,,,,actual,,,0.76,https://twitter.com/cheezyokparanta/status/672329431709589504
twitter,6.72E+17,2015-12-03T07:34:06Z,swaniesimon,RT @kimczwicker: #animalcruelty #animallivesmatter #AnimalRights https://t.co/j6VcL1zsqj,,,51.1657,10.4515,enrichment,http://pbs.twimg.com/media/CVQvZqoUYAAaK4a.jpg,,,https://twitter.com/swaniesimon/status/672317871515697152
twitter,6.72E+17,2015-12-03T05:13:21Z,barbs_mcl15,RT @ValentinaP333: #animallivesmatter #Wildlifeconservation https://t.co/9Pp0Lpdjmq,,,,,actual,http://pbs.twimg.com/media/CVEeBEfVAAEn_6_.jpg,,,https://twitter.com/barbs_mcl15/status/672282451830513664
twitter,6.72E+17,2015-12-03T04:15:24Z,LibertyPoet,RT @kimczwicker: #quote #animallivesmatter #animalcruelty https://t.co/tnxilM7Hq3,,,,,actual,http://pbs.twimg.com/media/CVQkDZ8WwAEZ8B7.jpg,,,https://twitter.com/LibertyPoet/status/672267869145591809
twitter,6.72E+17,2015-12-03T01:31:54Z,MCrvaen1b,RT @kimczwicker: #quote #animalcruelty #animallivesmatter https://t.co/L3EXV8gkma,,,23.6345,-102.5528,enrichment,http://pbs.twimg.com/media/CVQoItjXIAAOPXe.jpg,,,https://twitter.com/MCrvaen1b/status/672226723195301888
twitter,6.72E+17,2015-12-03T00:57:55Z,laurasa321368,RT @kimczwicker: #animalcruelty #AnimalRights #animallivesmatter https://t.co/rRgScHVBjs,,,,,actual,http://pbs.twimg.com/media/CVQyxSdUsAE_Rz4.png,,,https://twitter.com/laurasa321368/status/672218170221006848
twitter,6.72E+17,2015-12-02T23:58:47Z,ADAMISAROCKGOD,RT @kimczwicker: #quote #animallivesmatter #animalcruelty https://t.co/tnxilM7Hq3,,,-14.235,-51.9253,enrichment,http://pbs.twimg.com/media/CVQkDZ8WwAEZ8B7.jpg,,,https://twitter.com/ADAMISAROCKGOD/status/672203288952119300
twitter,6.72E+17,2015-12-02T23:34:17Z,pbrad67,RT @ValentinaP333: #animallivesmatter #Wildlifeconservation https://t.co/9Pp0Lpdjmq,,,,,actual,http://pbs.twimg.com/media/CVEeBEfVAAEn_6_.jpg,,,https://twitter.com/pbrad67/status/672197123799150592
twitter,6.72E+17,2015-12-02T21:21:56Z,BanTrophyHuntin,"RT @ice3300_kevin: https://t.co/WP58DJ7Wvv
#AnimalRights #BanTrophyHunting #animallivesmatter",,,,,actual,http://pbs.twimg.com/media/CVJwcq7W4AAfiDR.jpg (book jacket: 0.5089083909988403),,,https://twitter.com/BanTrophyHuntin/status/672163815920902144
twitter,6.72E+17,2015-12-02T19:35:02Z,MoeshaPullen,"I wish I could adopt two of every living animal on this planet ❤
#animallivesmatter",,,-40.9006,174.886,enrichment,,,0.79,https://twitter.com/MoeshaPullen/status/672136911289470976
twitter,6.72E+17,2015-12-02T19:02:39Z,Tuscanymoon,RT @ValentinaP333: #animallivesmatter #animalwelfare 🐶🐼🐦🐏🐓🐷🐧🐣🐳🐯🐻🐨🐘🐒🐮🐢🐇 https://t.co/fnBt94dfP1,,,53.4129,-8.2439,enrichment,http://pbs.twimg.com/media/CVKLry8WsAAMPtR.jpg,,,https://twitter.com/Tuscanymoon/status/672128762562129920
twitter,6.72E+17,2015-12-02T17:52:26Z,Orbiter77,RT @Jemsky_x: The only difference is your attitude. #attitude #foodies #AnimalAbuse #AnimalCentral #animallivesmatter #animalfarm https://t…,,,,,actual,http://pbs.twimg.com/media/CVPLxHcWsAA-0hB.jpg,,,https://twitter.com/Orbiter77/status/672111092039045120
twitter,6.72E+17,2015-12-02T13:49:39Z,asfvicente,It only means we are taught to respect human lives above all else's #animallivesmatter #AnimalRights  https://t.co/Y9IvER6sqk,https://twitter.com/ziyatong/status/672046493029834752,https://twitter.com/ziyatong/status/672046493029834752,,,actual,,,,https://twitter.com/asfvicente/status/672049994325716992
twitter,6.72E+17,2015-12-02T09:07:22Z,smitheryn_klose,RT @kimczwicker: #animalcruelty #AnimalRights #animallivesmatter https://t.co/78tK1rrW4d,,,,,actual,http://pbs.twimg.com/media/CVLnk67W4AE7UVd.jpg,,,https://twitter.com/smitheryn_klose/status/671978955520368640
twitter,6.72E+17,2015-12-02T09:01:44Z,Brosly7,RT @kimczwicker: #animalcruelty #AnimalRights #animallivesmatter https://t.co/78tK1rrW4d,,,,,actual,http://pbs.twimg.com/media/CVLnk67W4AE7UVd.jpg,,,https://twitter.com/Brosly7/status/671977538646843392
